                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 1.1666,                0.80436,                 1.1722,                0.78243,                 0.7306,                0.79023,                0.46866,                 1.3152,                0.98517,                 1.2431,               0.007525,               0.007525,               0.007525
                     77,                 1.1518,                0.80311,                 1.1669,                0.78382,                0.73205,                0.79069,                0.46878,                 1.3156,                0.98567,                 1.2437,               0.007492,               0.007492,               0.007492
                     78,                 1.1651,                 0.7989,                 1.1708,                0.78498,                0.73162,                0.79031,                0.46894,                 1.3166,                0.98594,                  1.245,               0.007459,               0.007459,               0.007459
                     79,                 1.1562,                0.79615,                 1.1688,                0.78491,                0.73181,                0.79105,                 0.4689,                  1.317,                0.98415,                 1.2453,               0.007426,               0.007426,               0.007426
                     80,                 1.1511,                0.78408,                 1.1629,                0.78757,                0.73237,                0.79147,                 0.4691,                  1.318,                 0.9851,                 1.2464,               0.007393,               0.007393,               0.007393
                     81,                 1.1458,                0.78886,                 1.1565,                0.78444,                 0.7327,                0.79189,                0.46914,                 1.3187,                 0.9834,                 1.2471,                0.00736,                0.00736,                0.00736
                     82,                 1.1506,                0.78231,                  1.167,                0.78193,                0.73302,                 0.7913,                0.46881,                 1.3185,                0.98289,                 1.2472,               0.007327,               0.007327,               0.007327
                     83,                  1.145,                0.77319,                 1.1541,                 0.7848,                0.73331,                0.79095,                 0.4688,                 1.3198,                0.97894,                 1.2485,               0.007294,               0.007294,               0.007294
                     84,                 1.1428,                0.77586,                 1.1538,                0.78655,                0.73281,                0.79085,                0.46951,                 1.3195,                0.98027,                 1.2486,               0.007261,               0.007261,               0.007261
                     85,                 1.1339,                0.77174,                  1.154,                0.78631,                0.73401,                0.79148,                0.46961,                 1.3204,                0.97838,                 1.2495,               0.007228,               0.007228,               0.007228
                     86,                 1.1406,                0.76961,                 1.1609,                0.78537,                0.73495,                0.79151,                0.46986,                 1.3223,                0.97502,                 1.2529,               0.007195,               0.007195,               0.007195
                     87,                 1.1349,                0.77506,                 1.1506,                0.78569,                0.73571,                0.79151,                0.46969,                 1.3231,                0.97439,                 1.2533,               0.007162,               0.007162,               0.007162
                     88,                 1.1427,                0.77343,                 1.1547,                0.78707,                0.73499,                0.79115,                0.46915,                 1.3234,                0.97286,                 1.2532,               0.007129,               0.007129,               0.007129
                     89,                 1.1344,                0.76397,                 1.1531,                0.78867,                0.73502,                0.79195,                0.46962,                 1.3231,                0.97218,                 1.2524,               0.007096,               0.007096,               0.007096
                     90,                 1.1293,                0.76155,                 1.1507,                0.78706,                0.73628,                0.79163,                0.46946,                 1.3222,                0.97217,                 1.2512,               0.007063,               0.007063,               0.007063
                     91,                 1.1257,                0.75746,                 1.1463,                0.78637,                0.73684,                0.79156,                0.46962,                 1.3218,                0.96894,                 1.2505,                0.00703,                0.00703,                0.00703
                     92,                 1.1251,                0.75624,                 1.1421,                0.78773,                0.73571,                0.79233,                0.46998,                  1.322,                 0.9669,                 1.2505,               0.006997,               0.006997,               0.006997
                     93,                 1.1203,                0.74708,                 1.1409,                0.78895,                0.73549,                 0.7923,                 0.4699,                 1.3235,                0.96462,                 1.2511,               0.006964,               0.006964,               0.006964
